Temp,Pres,Xa,Ya,Za,La,D,h,m,s
2134,102244,-5810,-4374,15034,29,6,10,0,0
2148,102335,-3494,-5454,15326,28,6,10,0,1
2166,102288,-3312,-10658,15294,41,6,10,0,2
2168,102200,-1920,-1182,14080,51,6,10,0,3
2164,102233,-920,-3402,15640,58,6,10,0,4
2166,102206,1706,-2918,17036,131,6,10,0,5
2163,102219,3956,3826,14112,315,6,10,0,6
2166,102186,3624,2538,13422,189,6,10,0,7
2168,102221,754,-1070,14426,60,6,10,0,8
2168,102241,2908,-5966,15870,40,6,10,0,9
2163,102259,164,-8458,16842,27,6,10,0,10
2163,102239,-748,-3050,13034,34,6,10,0,11
2161,102205,392,-2056,15878,5,6,10,0,12
2158,102258,-1580,-4336,12796,5,6,10,0,13
2155,102270,-2520,-5980,12178,9,6,10,0,14
2158,102278,-4972,-11644,7244,13,6,10,0,15
2152,102303,-5246,-13868,9906,3,6,10,0,16
2148,102335,-2716,-14380,11716,6,6,10,0,17
2150,102350,-3866,-8656,12960,21,6,10,0,18
2150,102350,-4264,-7970,12234,15,6,10,0,19
2140,102366,-3918,-8468,15878,1,6,10,0,20
2144,102313,-3066,-7368,9388,1,6,10,0,21
2144,102395,-1528,-8498,16102,0,6,10,0,22
2136,102197,-2262,-7988,13190,0,6,10,0,23
2137,102191,-1844,-8996,14040,0,6,10,0,24
2133,102230,-3036,-9122,13422,0,6,10,0,25
2131,102236,-8,-5496,12624,1,6,10,0,26
2121,102253,-3036,-6484,10634,14,6,10,0,27
2126,102254,-4164,-6822,16998,25,6,10,0,28
2123,102287,-4570,-10120,16768,8,6,10,0,29
2121,102313,-2274,-4944,12014,19,6,10,0,30
2118,102285,176,-5702,10684,5,6,10,0,31
2113,102324,-808,-8106,15238,25,6,10,0,32
2113,102344,-2452,-9934,17814,35,6,10,0,33
2109,102322,-2212,-5526,11186,36,6,10,0,34
2112,102351,998,-5074,15188,45,6,10,0,35
2112,102351,-4196,-11620,15618,7,6,10,0,36
2107,102369,-4560,-8932,15730,6,6,10,0,37
2109,102383,24,-4474,9194,4,6,10,0,38
2110,102357,9648,-1888,9742,2,6,10,0,39
2104,102214,-686,-10584,12132,3,6,10,0,40
2105,102375,-344,-9472,12630,6,6,10,0,41
2099,102212,-458,-9582,12588,5,6,10,0,42
2104,102193,-424,-7710,12516,4,6,10,0,43
2104,102173,1040,-10460,10584,3,6,10,0,44
2104,102193,5860,-12406,8508,1,6,10,0,45
2102,102220,6034,-12978,7482,1,6,10,0,46
2101,102226,5502,-13400,5766,1,6,10,0,47
2102,102260,5332,-13506,7062,1,6,10,0,48
2099,102232,5246,-13548,7046,1,6,10,0,49
2099,102253,5246,-13532,7036,1,6,10,0,50
2101,102246,5186,-13564,6894,1,6,10,0,51
2097,102238,5186,-13624,6976,1,6,10,0,52
2096,102265,5188,-13580,6946,1,6,10,0,53
2094,102291,5154,-13584,7008,1,6,10,0,54
2097,102218,5074,-13570,6934,1,6,10,0,55
2094,102291,5082,-13602,6888,1,6,10,0,56
2094,102231,5006,-13602,6970,1,6,10,0,57
2096,102265,4960,-13656,6916,1,6,10,0,58
2094,102231,5032,-13682,6860,1,6,10,0,59
